sex,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,start,end,event,custody_duration,jail_duration_hours,two_year_recid
Male,Less than 25,African-American,0,4,0,0,2,-1.0,1.0,F,Poss Tetrahydrocannabinols,1,0,4,Low,4,Low,2,1,575,1,2.0,44.945277777777775,1
Male,25 - 45,Hispanic,0,7,0,0,0,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,0,0,7,Medium,3,Low,0,23,1167,0,23.0,558.4227777777778,0
Male,Greater than 45,African-American,0,1,0,0,4,-1.0,1.0,M,Battery,0,0,1,Low,1,Low,4,0,948,0,1.0,21.677777777777777,0
Male,Greater than 45,Caucasian,0,5,0,0,8,-13.0,13.0,F,arrest case no charge,0,0,5,Medium,2,Low,8,0,1039,0,13.0,313.50694444444446,0
Male,25 - 45,African-American,0,3,0,0,5,-1.0,1.0,F,Driving While License Revoked,0,0,3,Low,2,Low,5,0,1145,0,1.0,23.33388888888889,0
Male,Greater than 45,African-American,0,7,0,0,10,-38.0,906.0,M,Possess Drug Paraphernalia,1,0,7,Medium,5,Medium,10,0,44,1,36.0,860.0491666666667,1
Male,25 - 45,African-American,1,10,1,2,15,-1.0,1.0,F,Driving While License Revoked,1,0,10,High,9,High,15,0,44,1,5.0,27.676388888888887,1
Male,25 - 45,Caucasian,0,2,0,0,4,-1.0,1.0,M,Battery,1,0,2,Low,2,Low,4,1,272,1,2.0,47.106944444444444,1
Male,Less than 25,African-American,0,4,0,1,1,-1.0,1.0,F,Poss Firearm W/Altered ID#,1,0,4,Low,6,Medium,1,0,371,1,1.0,24.91861111111111,1
Male,Less than 25,African-American,0,10,1,2,2,70.0,114.0,F,Sell Conterfeit Cont Substance,1,0,10,High,9,High,2,0,70,0,124.0,2980.889166666667,1
Male,25 - 45,African-American,0,9,0,0,4,-1.0,1.0,F,arrest case no charge,1,0,9,High,5,Medium,4,18,69,0,98.0,455.0444444444444,1
Male,Greater than 45,Hispanic,0,1,0,0,0,0.0,1.0,M,Unlaw LicTag/Sticker Attach,0,0,1,Low,1,Low,0,0,1179,0,0.0,-2.861388888888889,0
Male,25 - 45,African-American,0,6,1,0,6,0.0,0.0,F,Aggravated Battery / Pregnant,1,0,6,Medium,3,Low,6,30,193,1,1.0,722.7902777777778,1
Male,25 - 45,Other,0,1,0,0,0,-1.0,1.0,M,Battery,0,0,1,Low,1,Low,0,0,754,0,1.0,32.795,0
Female,Greater than 45,African-American,0,1,0,0,0,0.0,1.0,M,Battery,0,0,1,Low,1,Low,0,3,916,0,3.0,76.79277777777777,0
Male,Greater than 45,Hispanic,0,1,0,0,6,-1.0,1.0,F,Possession of Cocaine,1,1,1,Low,1,Low,6,241,323,1,242.0,5807.148888888889,1
Male,Less than 25,Hispanic,0,4,0,0,1,-1.0,1.0,F,Burglary Structure Unoccup,0,0,4,Low,6,Medium,1,0,1042,0,1.0,25.366666666666667,0
Male,25 - 45,African-American,0,4,0,0,1,-1.0,1.0,M,arrest case no charge,0,0,4,Low,2,Low,1,4,1121,0,5.0,117.61777777777777,0
Male,25 - 45,African-American,0,6,0,0,5,0.0,0.0,F,False Name By Person Arrest,1,0,6,Medium,3,Low,5,1,253,1,1.0,27.115277777777777,1
Male,25 - 45,Caucasian,0,6,0,1,1,-1.0,1.0,F,arrest case no charge,1,0,6,Medium,3,Low,1,13,273,0,58.0,342.0155555555556,1
Male,25 - 45,African-American,0,2,0,0,2,-15.0,15.0,F,arrest case no charge,0,0,2,Low,1,Low,2,0,989,0,3.0,76.51916666666666,0
Male,Less than 25,African-American,0,3,0,0,1,0.0,1.0,M,Battery,1,0,3,Low,3,Low,1,17,256,0,21.0,403.94972222222225,1
Male,Less than 25,Caucasian,0,8,0,0,0,-1.0,1.0,F,Grand Theft in the 3rd Degree,0,0,8,High,6,Medium,0,57,73,0,21.0,1390.1338888888888,0
Female,25 - 45,African-American,0,4,0,0,1,-1.0,1.0,F,Poss Cocaine/Intent To Del/Sel,1,1,4,Low,3,Low,1,1,11,1,58.0,48.10138888888889,1
Male,25 - 45,Caucasian,0,7,0,0,1,-43.0,44.0,F,Burglary Dwelling Assault/Batt,1,1,7,Medium,8,High,1,0,258,1,137.0,464.58722222222224,1
Male,25 - 45,African-American,0,2,0,0,0,-1.0,1.0,F,Felony Battery (Dom Strang),0,0,2,Low,1,Low,0,0,1124,0,1.0,27.586388888888887,0
Male,25 - 45,African-American,0,2,0,0,1,-1.0,5185.0,M,arrest case no charge,0,0,2,Low,2,Low,1,1,1128,0,2.0,40.16916666666667,0
Male,25 - 45,African-American,0,10,0,0,8,-1.0,1.0,M,Possess Cannabis/20 Grams Or Less,1,1,10,High,9,High,8,0,55,1,1.0,29.54138888888889,1
Male,Greater than 45,Other,0,1,0,0,0,-1.0,1.0,F,arrest case no charge,1,0,1,Low,2,Low,0,0,182,1,2.0,19.772777777777776,1
Male,25 - 45,African-American,1,10,6,1,14,-1.0,1.0,F,arrest case no charge,1,1,10,High,10,High,14,6,100,1,19.0,171.42055555555555,1
Male,Less than 25,Other,0,5,0,0,0,-1.0,1.0,F,Tampering With Physical Evidence,1,1,5,Medium,8,High,0,0,119,1,423.0,26.41722222222222,1
Male,Less than 25,African-American,1,9,0,0,2,0.0,0.0,F,Attempted Burg/struct/unocc,1,0,9,High,10,High,2,30,175,1,30.0,721.9958333333333,1
Male,Less than 25,African-American,0,7,0,1,2,137.0,192.0,M,arrest case no charge,1,0,7,Medium,8,High,2,0,137,0,1.0,17.229166666666668,1
Female,25 - 45,African-American,0,2,0,0,1,-1.0,1.0,M,arrest case no charge,0,0,2,Low,1,Low,1,0,1098,0,1.0,20.282777777777778,0
Male,25 - 45,African-American,0,7,0,0,9,0.0,1.0,F,Deliver Cocaine,1,0,7,Medium,6,Medium,9,4,27,1,4.0,88.03944444444444,1
Male,25 - 45,Caucasian,0,8,0,0,7,0.0,1.0,F,Possession Burglary Tools,1,0,8,High,4,Low,7,0,377,1,10.0,2.5955555555555554,1
Male,Less than 25,Other,0,6,0,0,1,0.0,1.0,F,Grand Theft in the 3rd Degree,1,0,6,Medium,6,Medium,1,4,253,1,98.0,94.09722222222223,1
Male,25 - 45,Caucasian,0,8,0,0,9,-1.0,1.0,F,Pos Cannabis W/Intent Sel/Del,1,1,8,High,9,High,9,0,145,1,2.0,23.935833333333335,1
Female,Less than 25,Caucasian,0,7,0,0,0,-1.0,1.0,F,"Poss3,4 Methylenedioxymethcath",0,0,7,Medium,8,High,0,0,869,0,1.0,14.251944444444444,0
Male,25 - 45,Caucasian,0,1,0,0,2,-2.0,3.0,F,Possession Of Alprazolam,1,0,1,Low,1,Low,2,0,63,1,22.0,-5.2844444444444445,1
Male,Greater than 45,Caucasian,0,1,0,0,3,-64.0,64.0,F,Flee/Elude LEO-Agg Flee Unsafe,0,0,1,Low,1,Low,3,0,877,0,30.0,727.5133333333333,0
Female,Greater than 45,Caucasian,0,1,0,0,0,0.0,1.0,M,DUI Level 0.15 Or Minor In Veh,0,0,1,Low,1,Low,0,0,1082,0,0.0,6.816666666666666,0
Female,25 - 45,Hispanic,0,1,0,0,0,-2.0,2.0,M,Battery,0,0,1,Low,1,Low,0,0,955,0,1.0,27.065277777777776,0
Male,Less than 25,African-American,0,4,0,0,1,-10.0,10.0,M,Battery,1,1,4,Low,7,Medium,1,0,104,1,6.0,218.38694444444445,1
Male,Less than 25,African-American,0,2,0,0,1,-137.0,137.0,F,arrest case no charge,0,0,2,Low,3,Low,1,0,503,0,0.0,3295.1491666666666,0
Male,25 - 45,African-American,0,2,0,0,1,-1.0,1.0,F,Fail To Redeliv Hire/Leas Prop,0,0,2,Low,2,Low,1,0,935,0,1.0,22.3975,0
Female,25 - 45,Caucasian,0,1,0,0,0,-1.0,1.0,F,Aggravated Assault W/Dead Weap,1,1,1,Low,1,Low,0,1,52,1,2.0,40.506388888888885,1
Male,Less than 25,Caucasian,0,6,1,2,8,-1.0,0.0,F,False Ownership Info/Pawn Item,1,0,6,Medium,6,Medium,8,11,27,1,12.0,292.545,1
Male,25 - 45,Caucasian,0,4,0,0,0,-1.0,1.0,F,Possession Of Methamphetamine,0,0,4,Low,2,Low,0,5,497,0,27.0,143.30583333333334,0
Male,25 - 45,Caucasian,0,5,0,0,0,-1.0,1.0,M,Battery,0,0,5,Medium,2,Low,0,38,770,0,39.0,935.2988888888889,0
Female,25 - 45,Caucasian,0,4,0,0,1,-1.0,1.0,F,Possession of Morphine,0,0,4,Low,3,Low,1,106,392,0,5.0,2564.804722222222,0
Male,Greater than 45,African-American,0,9,0,0,14,178.0,265.0,F,arrest case no charge,1,1,9,High,4,Low,14,0,178,1,110.0,2633.7105555555554,1
Male,25 - 45,Caucasian,0,1,0,0,1,-30.0,30.0,F,Possession of Cocaine,0,0,1,Low,1,Low,1,0,960,0,1.0,24.889722222222222,0
Male,Less than 25,African-American,0,9,0,0,3,-1.0,1.0,F,Grand Theft in the 3rd Degree,1,0,9,High,6,Medium,3,5,24,1,302.0,150.61027777777778,1
Male,25 - 45,Caucasian,0,4,0,0,5,-1.0,1.0,M,Possess Cannabis/20 Grams Or Less,1,0,4,Low,3,Low,5,2,55,1,1.0,68.26777777777778,1
Male,25 - 45,Caucasian,0,5,0,0,0,0.0,0.0,F,Aggravated Assault w/Firearm,0,0,5,Medium,5,Medium,0,15,441,0,69.0,358.1736111111111,0
Male,25 - 45,African-American,0,5,0,0,5,0.0,1.0,F,Poss Contr Subst W/o Prescript,1,0,5,Medium,2,Low,5,0,345,1,0.0,6.86,1
Male,25 - 45,African-American,0,2,0,0,3,0.0,0.0,F,"Poss3,4 Methylenedioxymethcath",0,0,2,Low,1,Low,3,1,102,0,7.0,30.536666666666665,0
Male,25 - 45,Caucasian,0,2,0,0,1,0.0,1.0,F,Aggrav Stalking After Injunctn,1,0,2,Low,2,Low,1,1,2,1,1.0,21.838055555555556,1
Male,25 - 45,African-American,0,9,1,0,10,0.0,0.0,F,Possession of Cocaine,1,0,9,High,7,Medium,10,176,285,1,41.0,4224.244722222223,1
Male,Less than 25,African-American,0,4,0,0,0,-1.0,1.0,F,Uttering a Forged Instrument,1,0,4,Low,7,Medium,0,0,394,1,0.0,21.073611111111113,1
Male,25 - 45,African-American,0,8,12,2,28,-1.0,1.0,F,Driving While License Revoked,1,0,8,High,5,Medium,28,1,83,1,1.0,44.02,1
Male,25 - 45,African-American,0,7,0,0,1,-1.0,1.0,M,Battery,0,0,7,Medium,8,High,1,0,900,0,1.0,28.50777777777778,0
Female,25 - 45,Other,0,2,0,0,1,-1.0,1.0,F,Crim Use of Personal ID Info,0,0,2,Low,2,Low,1,0,97,0,8.0,26.701666666666668,0
Male,25 - 45,Caucasian,0,10,0,0,13,-1.0,0.0,F,arrest case no charge,1,1,10,High,7,Medium,13,0,55,1,471.0,11310.226666666667,1
Male,25 - 45,African-American,0,9,0,0,3,-1.0,1.0,F,Possession of Cocaine,1,0,9,High,4,Low,3,0,249,1,1.0,23.317222222222224,1
Male,Greater than 45,African-American,0,9,0,0,8,67.0,79.0,F,arrest case no charge,0,0,9,High,3,Low,8,0,67,0,80.0,1919.0547222222222,0
Male,Greater than 45,Caucasian,0,9,0,0,3,-2.0,2.0,M,Battery,0,0,9,High,6,Medium,3,0,977,0,1.0,15.185833333333333,0
Male,25 - 45,African-American,0,10,0,0,19,-1.0,1.0,F,arrest case no charge,1,0,10,High,7,Medium,19,0,222,0,32.0,20.808611111111112,1
Female,Greater than 45,Caucasian,0,1,0,0,2,-47.0,48.0,M,Resist/Obstruct W/O Violence,0,0,1,Low,1,Low,2,0,732,0,0.0,-2.5575,0
Male,Less than 25,Caucasian,0,6,0,0,4,-36.0,36.0,F,Possession Of Alprazolam,1,0,6,Medium,8,High,4,0,139,0,19.0,341.4611111111111,1
Male,25 - 45,Caucasian,0,3,0,0,6,-4.0,5.0,F,Possession Of Alprazolam,0,0,3,Low,1,Low,6,0,408,0,86.0,-3.0011111111111113,0
Female,25 - 45,Caucasian,0,4,0,0,2,-1.0,1.0,F,arrest case no charge,0,0,4,Low,5,Medium,2,2,359,0,21.0,72.9425,0
Male,25 - 45,Caucasian,0,2,0,0,1,-20.0,20.0,M,Agg Fleeing and Eluding,0,0,2,Low,2,Low,1,0,864,0,4.0,91.52944444444445,0
Female,25 - 45,Other,0,2,0,0,2,-1.0,222.0,M,Petit Theft,0,0,2,Low,1,Low,2,1,823,0,2.0,41.454166666666666,0
Male,25 - 45,Caucasian,0,2,0,0,0,-1.0,1.0,M,Disorderly Intoxication,1,0,2,Low,3,Low,0,0,60,0,0.0,21.299166666666668,1
Female,Less than 25,African-American,0,2,0,0,0,-1.0,1.0,M,Battery,0,0,2,Low,3,Low,0,1,784,0,2.0,58.58638888888889,0
Female,25 - 45,Caucasian,0,4,1,0,10,-1.0,1.0,F,Grand Theft in the 3rd Degree,1,0,4,Low,2,Low,10,6,40,0,38.0,170.38416666666666,1
Male,25 - 45,Caucasian,0,2,0,0,2,0.0,1.0,M,Battery,1,0,2,Low,1,Low,2,0,216,1,0.0,-0.5591666666666667,1
Female,25 - 45,Hispanic,0,5,0,0,4,-35.0,36.0,F,Battery on Law Enforc Officer,1,1,5,Medium,5,Medium,4,0,37,1,241.0,7.748055555555555,1
Male,25 - 45,African-American,0,7,0,0,3,-1.0,1.0,F,Possession of Cocaine,1,0,7,Medium,3,Low,3,7,413,0,8.0,193.4961111111111,1
Male,25 - 45,Caucasian,0,3,0,0,2,-16.0,16.0,M,Resist/Obstruct W/O Violence,1,0,3,Low,3,Low,2,0,48,1,15.0,363.125,1
Male,25 - 45,African-American,0,2,0,0,1,-1.0,1.0,M,Lewdness Violation,1,0,2,Low,3,Low,1,0,1140,1,1.0,25.6275,0
Male,Greater than 45,Caucasian,0,2,0,0,1,-1.0,1.0,F,Possession of Cocaine,1,0,2,Low,1,Low,1,0,164,1,55.0,13.880555555555556,1
Female,Less than 25,African-American,1,10,0,0,1,0.0,0.0,F,arrest case no charge,0,0,10,High,10,High,1,3,119,0,9.0,66.49083333333333,0
Female,25 - 45,Caucasian,0,1,0,0,0,0.0,0.0,M,DUI Level 0.15 Or Minor In Veh,0,0,1,Low,1,Low,0,1,1053,0,1.0,23.170555555555556,0
Male,25 - 45,African-American,1,8,1,0,9,-1.0,1.0,F,Possession of Cocaine,1,0,8,High,4,Low,9,12,129,1,1.0,315.1433333333333,1
Male,25 - 45,African-American,0,6,0,0,11,-2.0,2.0,F,Poss Pyrrolidinovalerophenone,1,1,6,Medium,5,Medium,11,0,24,1,36.0,30.63361111111111,1
Male,25 - 45,African-American,0,5,0,0,8,-1.0,1.0,M,Assault,1,1,5,Medium,2,Low,8,0,187,1,0.0,17.885,1
Female,25 - 45,African-American,0,3,0,0,0,-1.0,1.0,F,Possession of Oxycodone,1,0,3,Low,2,Low,0,1,76,0,35.0,42.84222222222222,1
Female,25 - 45,African-American,0,9,0,0,7,-1.0,1.0,F,Possession of Cocaine,1,0,9,High,9,High,7,25,275,1,19.0,628.3086111111111,1
Male,25 - 45,African-American,0,9,0,0,2,-1.0,1.0,F,Tampering With Physical Evidence,1,0,9,High,8,High,2,0,18,0,0.0,25.989722222222223,1
Female,Less than 25,African-American,0,6,0,0,0,0.0,1.0,F,Grand Theft in the 3rd Degree,0,0,6,Medium,8,High,0,0,846,0,0.0,3.8216666666666668,0
Female,25 - 45,Caucasian,0,6,0,0,0,-2.0,2.0,M,Fail To Obey Police Officer,0,0,6,Medium,3,Low,0,0,795,0,1.0,21.47388888888889,0
Female,Greater than 45,African-American,0,1,0,0,1,-1.0,1.0,F,Solicit Purchase Cocaine,1,0,1,Low,1,Low,1,0,544,1,1.0,18.148055555555555,1
Male,Greater than 45,Other,0,7,0,0,13,-1.0,1.0,F,Felony Petit Theft,1,0,7,Medium,6,Medium,13,1,36,0,0.0,41.675555555555555,1
Male,Greater than 45,Hispanic,0,1,0,0,1,-26.0,26.0,F,arrest case no charge,0,0,1,Low,1,Low,1,0,786,0,15.0,355.3786111111111,0
Female,25 - 45,African-American,0,10,0,0,4,-7.0,7.0,F,arrest case no charge,1,1,10,High,9,High,4,0,395,1,118.0,163.53055555555557,1
Male,25 - 45,Hispanic,0,4,0,0,1,-1.0,1.0,F,Grand Theft in the 3rd Degree,0,0,4,Low,4,Low,1,0,938,0,1.0,21.246944444444445,0
Female,25 - 45,African-American,0,4,0,0,2,-1.0,1.0,M,Driving Under The Influence,1,0,4,Low,4,Low,2,0,229,1,1.0,18.271944444444443,1
Male,Greater than 45,African-American,0,1,0,0,3,-51.0,52.0,M,Battery,0,0,1,Low,1,Low,3,0,1009,0,1.0,26.176666666666666,0
Female,25 - 45,Caucasian,0,7,0,0,3,0.0,1.0,F,Possession Of Carisoprodol,1,0,7,Medium,4,Low,3,0,14,1,530.0,12722.0375,1
Male,25 - 45,African-American,0,7,0,0,1,0.0,1.0,F,Burglary Conveyance Assault/Bat,0,0,7,Medium,8,High,1,70,367,0,3.0,1683.0569444444445,0
Male,Greater than 45,Caucasian,0,2,0,0,2,-1.0,1.0,M,Battery,0,0,2,Low,1,Low,2,0,918,0,1.0,19.845555555555556,0
Male,Less than 25,African-American,0,2,0,0,1,-1.0,1.0,F,arrest case no charge,0,0,2,Low,4,Low,1,0,547,0,188.0,20.78,0
Male,Greater than 45,Caucasian,0,1,0,0,6,22.0,31.0,F,Driving While License Revoked,1,0,1,Low,1,Low,6,0,22,1,23.0,544.15,1
Female,Greater than 45,Caucasian,0,6,0,0,6,-56.0,56.0,F,Crim Use of Personal ID Info,0,0,6,Medium,2,Low,6,0,744,0,5.0,120.55833333333334,0
Male,25 - 45,Caucasian,0,5,0,0,0,0.0,1.0,F,"Deliver 3,4 Methylenediox",0,0,5,Medium,4,Low,0,2,719,0,50.0,54.45666666666666,0
Male,25 - 45,African-American,0,2,0,0,1,-1.0,1.0,M,Battery,1,0,2,Low,3,Low,1,1,31,1,4.0,46.06361111111111,1
Male,Less than 25,Hispanic,0,3,0,0,0,-1.0,2.0,F,"Poss3,4 Methylenedioxymethcath",0,0,3,Low,5,Medium,0,0,935,0,0.0,0.9933333333333333,0
Female,25 - 45,African-American,0,7,0,0,5,-1.0,1.0,F,Aggravated Assault W/dead Weap,0,0,7,Medium,3,Low,5,0,1138,0,1.0,26.432777777777776,0
Male,Greater than 45,Hispanic,0,1,0,0,2,-1.0,1.0,M,Leave Acc/Attend Veh/More $50,0,0,1,Low,1,Low,2,2,108,0,35.0,73.82666666666667,0
Male,Greater than 45,African-American,0,4,0,0,8,0.0,1.0,F,Possession of Cocaine,0,0,4,Low,1,Low,8,16,1151,0,16.0,375.72805555555556,0
